Vehicle Name,Trip Started At,Trip Ended At,Trip Distance Miles,Average MPG,Fuel Cost USD,Hard Brake Count,Hard Accel Count,Duration Over 70 MPH,Duration Over 75 MPH,Duration Over 80 MPH,Trip Path Image Map URL,Start Location Lon,Start Location Lat,Start Location Map URL,End Location Lon,End Location Lat,End Location Map URL
Volkswagen Jetta,"August 25, 2014 at 02:21PM","August 25, 2014 at 02:28PM",2.43,23.04,$0.4,0,0,0,0,0,http://wmsy.me/1vGqdlS,-73.262147,40.762182,http://wmsy.me/1tCcFY0,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI
Volkswagen Jetta,"August 25, 2014 at 07:36PM","August 25, 2014 at 08:27PM",41.87,28.6,$5.52,0,0,141,10,0,http://wmsy.me/1qHXJ6P,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI,-73.9236762,40.7628992,http://wmsy.me/1jeHfiE
Volkswagen Jetta,"August 26, 2014 at 09:50AM","August 26, 2014 at 10:44AM",43.42,27.36,$5.98,0,0,250,3,0,http://wmsy.me/1qoSTit,-73.9236762,40.7628992,http://wmsy.me/1jeHfiE,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI
Volkswagen Jetta,"August 26, 2014 at 01:48PM","August 26, 2014 at 01:50PM",0.25,11.94,$0.08,0,0,0,0,0,http://wmsy.me/1BZnx7i,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI,-73.2610121,40.7676361,http://wmsy.me/1BZnw3a
Volkswagen Jetta,"August 26, 2014 at 01:57PM","August 26, 2014 at 02:00PM",0.96,15.26,$0.24,0,0,0,0,0,http://wmsy.me/1zzwBLT,-73.2610121,40.7676361,http://wmsy.me/1BZnw3a,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI
Volkswagen Jetta,"August 26, 2014 at 05:53PM","August 26, 2014 at 07:21PM",43.34,23.56,$6.93,0,0,45,0,0,http://wmsy.me/1tayTCW,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI,-73.9236762,40.7628992,http://wmsy.me/1jeHfiE
Volkswagen Jetta,"August 27, 2014 at 10:06AM","August 27, 2014 at 10:07AM",0.09,14.51,$0.02,0,0,0,0,0,http://wmsy.me/1onbLcJ,-73.264857,40.766932,http://wmsy.me/1ih2K8c,-73.264857,40.766932,http://wmsy.me/1ih2K8c
Volkswagen Jetta,"August 27, 2014 at 02:55PM","August 27, 2014 at 02:57PM",0.18,12,$0.06,0,0,0,0,0,http://wmsy.me/1qybSHw,-73.264857,40.766932,http://wmsy.me/1ih2K8c,-73.26044,40.767229,http://wmsy.me/1oQrz8F
Volkswagen Jetta,"August 27, 2014 at 03:01PM","August 27, 2014 at 03:03PM",0.4,15.15,$0.1,0,0,0,0,0,http://wmsy.me/1njeS8N,-73.26044,40.767229,http://wmsy.me/1oQrz8F,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI
Volkswagen Jetta,"August 27, 2014 at 06:17PM","August 27, 2014 at 07:31PM",44.65,24.93,$6.74,0,0,318,10,0,http://wmsy.me/1mUb6Qq,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI,-73.9236762,40.7628992,http://wmsy.me/1jeHfiE
Volkswagen Jetta,"August 28, 2014 at 10:58AM","August 28, 2014 at 11:05AM",1,10.29,$0.36,1,0,0,0,0,http://wmsy.me/1q8lmJE,-73.9236762,40.7628992,http://wmsy.me/1jeHfiE,-73.912676,40.75374,http://wmsy.me/1nIJayZ
Volkswagen Jetta,"August 28, 2014 at 11:14AM","August 28, 2014 at 11:24AM",1.36,11.23,$0.45,1,0,0,0,0,http://wmsy.me/1pM3R1H,-73.912676,40.75374,http://wmsy.me/1nIJayZ,-73.9236762,40.7628992,http://wmsy.me/1jeHfiE
Volkswagen Jetta,"August 29, 2014 at 07:28AM","August 29, 2014 at 08:23AM",43.1,28.65,$5.66,0,0,143,1,0,http://wmsy.me/1u4t6vH,-73.9236762,40.7628992,http://wmsy.me/1jeHfiE,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI
Volkswagen Jetta,"August 29, 2014 at 01:45PM","August 29, 2014 at 01:58PM",3.08,18.47,$0.63,0,0,0,0,0,http://wmsy.me/1pR0bvH,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI
Volkswagen Jetta,"August 29, 2014 at 03:29PM","August 29, 2014 at 04:34PM",44.66,27.5,$6.11,2,1,150,7,0,http://wmsy.me/VTyCWj,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI,-73.923343,40.762686,http://wmsy.me/1eDquSs
Volkswagen Jetta,"August 30, 2014 at 01:34PM","August 30, 2014 at 02:03PM",6.23,13.71,$1.71,1,0,0,0,0,http://wmsy.me/1tYlnQK,-73.9236762,40.7628992,http://wmsy.me/1jeHfiE,-73.8993514,40.7021421,http://wmsy.me/1pu4Q7t
Volkswagen Jetta,"August 30, 2014 at 02:53PM","August 30, 2014 at 02:57PM",0.51,10.72,$0.18,0,0,0,0,0,http://wmsy.me/1CdEZVH,-73.8993514,40.7021421,http://wmsy.me/1pu4Q7t,-73.8907134,40.7010515,http://wmsy.me/1B5bV0Y
Volkswagen Jetta,"August 30, 2014 at 03:00PM","August 30, 2014 at 03:30PM",14.78,23.31,$2.4,0,0,0,0,0,http://wmsy.me/1loeuaB,-73.8907134,40.7010515,http://wmsy.me/1B5bV0Y,-73.703761,40.775646,http://wmsy.me/1nauSXU
Volkswagen Jetta,"August 30, 2014 at 07:25PM","August 30, 2014 at 07:42PM",7.98,23.73,$1.28,0,0,0,0,0,http://wmsy.me/1qf9u8t,-73.703761,40.775646,http://wmsy.me/1nauSXU,-73.808913,40.790147,http://wmsy.me/1nbByFo
Volkswagen Jetta,"August 30, 2014 at 08:06PM","August 30, 2014 at 08:32PM",10.95,22.94,$1.81,0,0,0,0,0,http://wmsy.me/1nbP7o6,-73.808913,40.790147,http://wmsy.me/1nbByFo,-73.9237615,40.7626463,http://wmsy.me/1uDugi9
