,Unnamed: 0,Start.Time,commute,Gate List
198,199,2015-01-15 09:46:00,AM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
199,200,2015-01-15 17:38:00,PM,"GCP2,NSP1,CIP1,LIE2,BQE2,LIE4"
200,201,2015-01-22 08:30:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
201,202,2015-01-22 17:32:00,PM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
202,203,2015-01-23 09:32:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
203,204,2015-01-23 17:53:00,PM,"GCP2,CIP1,NSP3,LIE2,BQE2,LIE1"
204,205,2015-01-28 09:07:00,AM,"GCP2,GCP1,NSP3,LIE2,BQE2,LIE1"
205,206,2015-01-28 16:58:00,PM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
206,207,2015-01-30 09:19:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
207,208,2015-01-30 18:19:00,PM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
208,209,2015-02-03 08:55:00,AM,"GCP2,LIE2,LIE1,LIE6,LIE4,LIE5"
209,210,2015-02-03 18:54:00,PM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
210,211,2015-02-04 18:09:00,PM,"GCP2,GCP1,NSP1,LIE2,BQE2,LIE4,LIE5"
211,212,2015-02-05 09:06:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
212,213,2015-02-05 18:38:00,PM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
213,214,2015-02-06 08:03:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
214,215,2015-02-06 17:51:00,PM,"GCP2,NSP1,CIP1,NSP3,LIE2,BQE2"
215,216,2015-02-10 07:40:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
216,217,2015-02-11 06:58:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
217,218,2015-02-11 19:18:00,PM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
218,219,2015-02-12 08:00:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
219,220,2015-02-12 21:30:00,PM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
220,221,2015-02-13 17:43:00,PM,"GCP2,NSP1,CIP1,NSP2,BQE2,LIE4"
221,222,2015-02-16 07:54:00,AM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
222,223,2015-02-19 16:40:00,PM,"GCP2,NSP1,CIP1,LIE2,BQE2,LIE4"
223,224,2015-02-20 08:49:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
224,225,2015-02-23 08:54:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
225,226,2015-02-23 17:47:00,PM,"GCP2,NSP1,CIP1,NSP2,BQE2,LIE4"
226,227,2015-02-24 08:51:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
227,228,2015-02-25 08:43:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
228,229,2015-02-25 19:01:00,PM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
229,230,2015-02-26 09:37:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
230,231,2015-02-26 19:31:00,PM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
231,232,2015-03-02 08:37:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
232,233,2015-03-03 09:02:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
233,234,2015-03-03 14:35:00,PM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
234,235,2015-03-04 08:55:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
235,236,2015-03-04 17:58:00,PM,"GCP2,NSP1,CIP1,LIE2,BQE2,LIE4"
236,237,2015-03-09 09:48:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
237,238,2015-03-09 17:39:00,PM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
